1;11;1993;1;1;IE0513;PE
1;11;1994;2;1;IE0503;RJ
1;11;1994;1;1;IE0513;PE
1;11;1995;1;2;IE0423;RJ
1;11;1995;1;1;IE0513;8.5
1;11;1995;1;1;IE0527;8.5
1;11;1996;1;1;IE0209;10
1;11;1996;1;1;IE0416;RJ
1;11;1996;1;1;IE0423;RJ
1;11;1996;2;1;IE0423;RJ
1;11;1997;2;2;FS0311;RJ
1;11;1997;2;1;IE0416;RJ
1;11;1997;1;1;IE0416;RJ
1;11;1997;1;1;IE0423;9.5
1;11;1997;2;3;IM0101;RJ
1;11;1998;1;7;FS0311;9.5
1;11;1998;2;1;FS0410;9
1;11;1998;2;7;FS0411;RJ
1;11;1998;1;1;IE0416;PE
1;11;1998;2;3;IM0207;8.5
1;11;1999;1;8;FS0411;7.5
1;11;1999;2;1;IE0308;RJ
1;11;1999;1;1;IE0308;RJ
1;11;1999;1;1;IE0503;RJ
1;11;2000;1;1;IE0308;RJ
1;11;2000;2;1;IE0370;RJ
1;11;2000;2;1;IE0416;7
1;11;2001;2;1;IE0308;RM
1;11;2001;1;1;IE0503;RM
1;11;2001;1;1;IE0516;RM
1;11;2002;2;1;IE0308;RM
1;11;2002;1;1;IE0470;9.5
1;11;2002;2;1;IE0503;7
1;11;2002;1;1;IE0516;6
1;11;2002;1;1;IE1071;RM
1;11;2003;1;1;IE0308;8.5
1;11;2003;2;2;IE0408;RM
1;11;2003;1;1;IE0523;7
1;11;2003;3;901;IM0101;8.5
1;11;2004;2;2;IE0408;8.5
1;11;2004;1;1;IE0516;7
1;11;2005;2;1;IE0407;8.5
1;11;2005;1;2;IE1071;7.5
1;11;2006;2;1;IE0102;8
1;11;2006;2;2;IE0117;RM
1;11;2006;1;1;IE1029;RM
1;11;2006;1;1;IE1127;RM
1;11;2007;2;1;SP2103;10
1;11;2007;1;1;SP2121;RM
1;11;2008;1;1;SP2116;2.5
2;11;1993;1;1;CP0114;RI
3;11;1993;2;1;IE1003;9
3;11;1993;2;1;IE1103;RJ
3;11;1993;2;1;IE9501;PE
3;11;1994;2;1;IE9502;PE
3;11;2000;1;1;IE9500;IN
4;11;1994;1;2;IE0100;8
4;11;1994;1;18;MA0225;RI
4;11;1995;1;1;IM0101;RI
5;11;1995;1;1;IE1071;RI
5;11;1995;1;1;IE1103;8.5
6;11;1994;1;9;MA0125;RI
7;11;1997;1;1;IE1103;RI
7;11;2012;2;1;IE9600;IN
8;11;1994;1;1;IE9500;IN
8;11;1994;2;1;IE9501;IN
8;11;1995;2;1;IE1171;9
8;11;1995;1;1;IE9502;AP
9;11;2000;1;1;PF2200;PE
9;11;2000;1;1;PF2201;9.5
9;11;2000;1;1;PF2202;8.5
9;11;2000;1;1;PF2213;9
9;11;2000;2;1;PF2217;IN
9;11;2000;1;1;PF2222;IN
9;11;2000;2;1;PF2224;IN
9;11;2000;2;1;PF2227;9
9;11;2000;2;1;PF2233;IN
9;11;2000;2;1;PF2234;IN
10;11;1993;2;1;IE9500;AP
10;11;2001;1;2;FS0101;10
